Description;Date;AcademicYear;Status;Category;StudentCode;Sex;;Age;Continent;CivilStatus;Scholarship;ScholarshipCategory;ScholarshipAmount;Scholarship;HowYouKnew;Chosen
First criteria not met;2015;2015;Erasmus;Erasmus MBA;135;1;;36;Europe;0;0;3; 21.400,00 ;N/A;Website;No
Registered second time;2015;2015;Master;MSCS;136;0;;36;Asia;1;0;3; 10.400,00 ;N/A;Website;No
Registration Started;2014;2014;Diploma;Summer MSCS;137;0;;31;Africa;3;0;0; -   ;N/A;Website;Yes
Registered second time;2015;2015;Bachelor;BBA;138;1;;19;Africa;0;0;3; 21.400,00 ;Type1;Academic staff;Yes
Registration Started;2015;2014;Diploma;Summer MSCS;139;0;;31;Africa;1;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Master;MBE;140;1;;36;Europe;1;0;3; -   ;N/A;Employer;No
Registration Started;2015;2015;Master;MBE;141;1;;31;Africa;0;0;3; 16.400,00 ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;142;0;;31;Europe;1;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2014;Master;MBA;143;1;;31;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2015;Diploma;Summer MSCS;144;0;;26;Africa;0;0;3; -   ;N/A;Website;Yes
Registered second time;2014;2014;Master;MSCS;145;1;;26;Asia;0;0;0; -   ;N/A;Website;Yes
Registered second time;2014;2015;Bachelor;BBA;146;1;;19;Africa;0;0;3; 9.820,00 ;Type1;Website;Yes
First criteria not met;2015;2015;Master;MSCS;147;0;;36;Africa;1;0;3; 3.400,00 ;N/A;Website;No
Registered second time;2015;2015;Master;MSCS;148;0;;26;Africa;1;0;3; -   ;Type1;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;149;0;;26;Europe;0;0;1; 6.400,00 ;Type1;Other;Yes
Registration Started;2014;2014;Diploma;Summer MBA;150;1;;31;Africa;1;0;0; -   ;N/A;Scholarship;Yes
First criteria not met;2015;2015;Diploma;Summer MBA;151;1;;36;Europe;0;0;3; 16.400,00 ;N/A;Website;No
Registered second time;2015;2015;Diploma;Summer MSCS;152;0;;26;Africa;0;0;3; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;153;0;;19;Africa;0;0;3; -   ;Type1;Website;Yes
Registration Started;2014;2014;Master;MSCS;154;1;;26;Africa;0;0;0; -   ;N/A;Website;Yes
Registration Started;2014;2015;Master;MBE;155;1;;26;North America;0;1;3; 51.400,00 ;Type1;Website;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;156;0;;26;Africa;3;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Bachelor;BBA;157;1;;19;Africa;0;0;3; -   ;Type1;Other;Yes
Registration Started;2014;2015;Bachelor;BBA;158;1;;19;Europe;0;0;3; -   ;N/A;Student Alumnus;Yes
Registered second time;2014;2014;Bachelor;BBA;159;1;;26;Europe;0;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Master;MBE;160;1;;26;Europe;0;0;3; 11.400,00 ;N/A;Student Alumnus;Yes
Registration Started;2015;2015;Master;MFA;161;1;;26;Africa;0;1;1; -   ;Type1;Third part website;Yes
Registration Started;2014;2015;Bachelor;BBA;162;1;;19;Europe;0;0;3; 16.400,00 ;Type1;Website;Yes
Registration Started;2014;2014;Diploma;Summer MSCS;163;0;;31;North America;1;0;0; -   ;N/A;Website;Yes
Registration Started;2015;2015;Diploma;Summer MSCS;164;0;;26;Europe;0;0;3; 22.400,00 ;N/A;Student Alumnus;Yes
First criteria not met;2015;2015;Diploma;Summer MSCS;165;0;;36;Africa;1;0;3; 3.400,00 ;N/A;Website;No
Registration Started;2014;2015;Bachelor;BBA;166;1;;19;Latin America;0;0;3; -   ;N/A;Website;Yes
Acception notified;2014;2014;Diploma;Summer MBA;167;1;;26;Africa;0;0;0; -   ;N/A;Website;No
